PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,QBSG-PA3-S262T,T,T,(CCD)0768,UEH3U087.1,12,0,RUN,01/14/2017,
SG21,QBSG-PA3-S262T,T,T,(CCD)0768,UEH3U090.1,40,0,RUN,12/07/2016,
SG21,QBSG-PA3-S262T,T,T,(CCD)0768,UEH3U089.1,81,0,RUN,03/09/2017,
SG21,QBSG-PA3-S262T,T,T,(CCD)0768,UEH3U088.1,74,0,RUN,01/14/2017,
SG21,QBSG-PA3-S264T,T,T,(CCD)0768,UEH48034.1,3,0,RUN,03/06/2016,
SG21,QBSG-PA3-S264T,T,T,(CCD)0768,UEH48033.1,29,0,RUN,09/11/2016,
SG21,QBSG-PA3-S264T,T,T,(CCD)0768,UEH48032.1,15,0,RUN,08/13/2016,
SG21,QBSG-PA3-S264T,T,T,(CCD)0768,UEH48035.1,6,0,RUN,05/16/2016,
SG21,QBSG-PA3-S264T,T,T,(CCD)0768,UEH48036.1,18,0,RUN,05/16/2016,
SG21,QBSG-PA3-S268T,T,T,(CCD)0768,UEH1C181.1,705,0,HELD,12/16/2016,
SG21,QBSG-PA3-S268T,T,T,(CCD)0768,UEH29113.1,25,0,HELD,02/08/2017,
SG21,QBSG-PA3-S268T,T,T,(CCD)0768,UEH2H132.1,740,0,HELD,02/11/2017,
SG21,QBSG-PA3-S275T,T,T,(CCD)0768,UEH3U053.1,285,0,RUN,03/01/2017,
SG21,QBSG-PA3-S275T,T,T,(CCD)0768,UEH3U054.1,112,0,RUN,11/25/2016,
SG21,QBSG-PA3-S275T,T,T,(CCD)0768,UEH3U055.1,279,0,RUN,11/29/2016,
SG21,QBSG-PA3-S275T,T,T,(CCD)0768,UEH4I010.1,1379,0,RUN,04/14/2017,
SG21,QBSG-PA3-S277T,T,T,(CCD)0768,UEGCO062.1,898,0,HELD,12/22/2016,
SG21,QBSG-PA3-S277T,T,T,(CCD)0768,UEH4H135.1,148,0,RUN,03/20/2017,
SG21,QBSG-PA3-S278T,T,T,(CCD)0768,UEH3U062.1,101,0,RUN,10/31/2016,
SG21,QBSG-PA3-S278T,T,T,(CCD)0768,UEH3U063.1,83,0,RUN,02/27/2017,
SG21,QBSG-PA3-S285T,T,T,(CCD)0768,UEH3U041.1,78,0,RUN,01/03/2017,
SG21,QBSG-PA3-S285T,T,T,(CCD)0768,UEH3U042.1,87,0,RUN,11/27/2016,
SG21,QBSG-PA3-S287T,T,T,(CCD)0768,UEH3T164.1,442,0,RUN,01/13/2017,
SG21,QBSG-PA3-S287T,T,T,(CCD)0768,UEH3T165.1,68,0,RUN,12/10/2016,
SG21,QBSG-PA3-S287T,T,T,(CCD)0768,UEH4J021.1,1031,0,RUN,04/16/2017,
SG21,QBSG-PA3-S288T,T,T,(CCD)0768,UEH3U039.1,187,0,RUN,12/05/2016,
SG21,QBSG-PA3-S290T,T,T,(CCD)0768,UEH3U003.1,77,0,RUN,11/04/2016,
SG21,QBSG-PA3-S290T,T,T,(CCD)0768,UEH3U004.1,14,0,RUN,11/28/2016,
SG21,QBSG-PA3-S290T,T,T,(CCD)0768,UEH43098.1,330,0,RUN,04/03/2017,
SG21,QBSG-PA3-S290T,T,T,(CCD)0768,UEH4J043.1,1560,0,RUN,04/03/2017,
SG21,QBSG-PA3-S292T,T,T,(CCD)0768,UEG45014.1,49,0,RUN,03/28/2016,
SG21,QBSG-PA3-S292T,T,T,(CCD)0768,UEH4I135.1,1600,0,RUN,04/08/2017,
SG21,QBSG-PA3-S292T,T,T,(CCD)0768,UEH4H137.1,4,0,RUN,04/08/2017,
SG21,QBSG-PA3-S293T,T,T,(CCD)0768,UEH14005.1,10,0,RUN,01/01/2017,
SG21,QBSG-PA3-S293T,T,T,(CCD)0768,UEH4H134.1,33,0,RUN,11/14/2016,
SG21,QBSG-PA3-S294T,T,T,(CCD)0768,UEG8E068.1,6,0,RUN,08/11/2016,
SG21,QBSG-PA3-S294T,T,T,(CCD)0768,UEGB1098.1,2,0,RUN,10/22/2016,
SG21,QBSG-PA3-S294T,T,T,(CCD)0768,UEGB2009.1,2,0,RUN,10/22/2016,
SG21,QBSG-PA3-S355T,T,T,(CCD)0768,UEH4J025.1,3189,0,RUN,04/14/2017,
SG21,NN30297A-VB,F,T,ST31S0000109,UCH41131.1,7801,0,AC,03/15/2017,
SG21,NN30297A-VB,F,T,ST31S0000109,UCH3V388.1,7185,0,AC,03/15/2017,
SG21,AN44104ABVB,F,T,ST31S0000109,UCH3700U.1,2211,0,HD,02/20/2017,
SG21,AN44104ABVB,F,A,ST31S0000095,UCH42653.1,9986,0,AC,03/15/2017,
SG21,AN44104ABVB,F,T,ST31S0000109,UCH3D187.1,9012,0,HD,02/20/2017,
SG21,AN44104ABVB,F,T,ST31S0000109,UCH4I428.1,4031,0,WT,03/10/2017,
SG21,AN44116ABVB,F,T,ST31S0000109,UCH38565.1,14559,0,AC,02/27/2017,
