PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,MN2PS00003RF,F,E,ST11S0000067,#N/A,160,0,WT,04/06/2016,
SG21,MN5410,F,E,ST11S0000065,#N/A,101,0,WT,02/08/2017,
SG21,MN89513,F,E,ST11S0000067,#N/A,480,0,WT,03/09/2017,
SG21,MN2WS61AFFUB,F,E,ST11S0000067,#N/A,29,0,WT,12/15/2016,
SG21,MN89500RF,F,E,ST11S0000067,#N/A,225,0,WT,12/22/2016,
SG21,MN2WS0230A2,T,E,ST11S0000067,#N/A,24,0,WT,02/21/2017,
SG21,MN2WS0230A2N,T,E,ST11S0000067,#N/A,264,0,WT,03/25/2017,
SG21,MN2WS0230A2N,T,E,ST11S0000067,#N/A,456,0,WT,03/26/2017,
SG21,MN2WS0230A2N,T,E,ST11S0000068,UBH3U042.1,120,0,AC,03/25/2017,
SG21,MN2WS0275CB,T,E,ST11S0000067,#N/A,5,0,WT,01/01/1970,
SG21,MN2WS0041UBB,F,E,ST11S0000067,#N/A,186,0,WT,01/26/2017,
SG21,MN2WS0028-SS,#N/A,E,ST11S0000067,#N/A,68,0,WT,02/27/2017,
SG21,MIP0255SSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/19/2017,
SG21,MIP0255SSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/19/2017,
SG21,MIP2C20MSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/05/2017,
SG21,MIP2E3DMSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,02/27/2017,
SG21,MIP2E3DMSSCF,F,E,ST31S0000033,#N/A,1833,0,WT,03/10/2017,
SG21,MIP2F50MSSCF,F,E,ST31S0000033,#N/A,429,0,WT,02/24/2017,
SG21,MIP2K20MS1S0,F,E,ST31S0000035,#N/A,0,2000,OW,03/23/2017,
SG21,MIP2K20MS1S0,F,E,ST31S0000035,#N/A,0,2000,OW,03/23/2017,
SG21,MIP3550MSSCF,F,E,ST31S0000033,#N/A,1075,0,WT,02/04/2017,
SG21,MIP3E3SMSSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/13/2017,
SG21,MIP2K30MS1S0,F,E,ST31S0000035,#N/A,0,2000,OW,03/12/2017,
SG21,MIP2E3DMSL,F,E,ST31S0000035,#N/A,0,1000,OW,03/10/2017,
SG21,MIP2830MTSCF,F,E,ST31S0000033,#N/A,1637,0,WT,09/29/2016,
SG21,MIP2F20MTSCF,F,E,ST31S0000033,#N/A,1421,0,WT,03/10/2017,
SG21,MIP2K40MTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/17/2017,
SG21,MIP2K40MTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/17/2017,
SG21,MIP2K50MTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/17/2017,
SG21,MIP2K50MTSCF,F,E,ST31S0000033,#N/A,200,0,WT,03/17/2017,
SG21,MIP3840MTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/18/2017,
SG21,MIP5310MTSCF,F,E,ST31S0000033,UCE9R024.1,652,0,WT,09/26/2014,
SG21,MIP8360MT1S0,F,E,ST31S0000035,UCE95012.1,0,2000,OW,09/05/2014,
SG21,MIP2K30MTSCF,F,E,ST31S0000035,#N/A,0,2000,OW,03/23/2017,
SG21,MIP2K30MT1S0,F,E,ST31S0000035,#N/A,0,2000,OW,03/12/2017,
SG21,MIP0129SY,F,E,ST31S0000033,#N/A,146,0,WT,12/02/2016,
SG21,MIP0223SY1HD,F,E,ST31S0000035,UCF6T040.1,0,500,OW,04/06/2015,
SG21,MIP0223SY1HD,F,E,ST31S0000035,UCF6T038.1,0,500,OW,04/06/2015,
SG21,MIP2L50MY,F,E,ST31S0000033,#N/A,489,0,WT,01/25/2017,
SG21,MIP3E50MY,F,E,ST31S0000037,#N/A,1460,0,WT,03/19/2017,
SG21,MIP3E50MY,F,E,ST31S0000035,#N/A,0,500,OW,03/04/2017,
SG21,MIP0223SY,F,E,ST31S0000037,#N/A,832,0,WT,03/08/2017,
SG21,MIP0226SY,F,E,ST31S0000037,#N/A,950,0,WT,02/27/2017,
SG21,MIP2E3DMY,F,E,ST31S0000033,#N/A,126,0,WT,03/25/2017,
SG21,MIP2E3DMY1XC,F,E,ST31S0000037,#N/A,2873,0,WT,03/18/2017,
SG21,MIP0222SY,F,E,ST31S0000037,#N/A,1389,0,WT,03/16/2017,
SG21,AN34043AAVF,F,E,ST31S0000157,#N/A,0,2000,OW,03/17/2017,
SG21,AN34043AAVF,F,E,ST31S0000157,#N/A,0,2000,OW,03/15/2017,
SG21,AN34043AAVF,F,E,ST31S0000157,#N/A,0,2000,OW,03/15/2017,
SG21,AN34043AAVF,F,E,ST31S0000157,#N/A,0,2000,OW,03/15/2017,
SG21,AN34043AAVF,F,E,ST31S0000157,#N/A,0,2000,OW,03/15/2017,
SG21,AN34043AAVF,F,E,ST31S0000157,#N/A,0,2000,OW,03/15/2017,
SG21,AN44063A-VF,F,E,ST31S0000154,#N/A,1566,0,WT,10/05/2016,
SG21,AN47054A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,03/09/2017,
SG21,AN47054A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,03/09/2017,
SG21,AN47200A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,03/11/2017,
SG21,AN47200A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,03/11/2017,
SG21,AN44015A-VF,F,E,ST31S0000157,#N/A,0,2000,OW,03/16/2017,
SG21,AN32183A-VF,F,E,ST31S0000155,#N/A,1000,0,WT,03/10/2017,
SG21,AN32183A-VF,F,E,ST31S0000157,#N/A,0,1000,OW,03/10/2017,
SG21,AN33012UA-VB,F,E,ST31S0000155,#N/A,1000,0,WT,03/16/2017,
SG21,AN33012UA-VB,F,E,ST31S0000155,#N/A,1000,0,WT,03/16/2017,
SG21,AN33012UA-VB,F,E,ST31S0000157,#N/A,0,1000,OW,03/16/2017,
SG21,AN33014UA-VB,F,E,ST31S0000157,#N/A,0,1000,OW,03/05/2017,
SG21,AN33014UA-VB,F,E,ST31S0000157,#N/A,0,1000,OW,03/11/2017,
SG21,AN33014UA-VB,F,E,ST31S0000157,#N/A,0,1000,OW,03/05/2017,
SG21,AN29184A-VB,F,E,ST31S0000120,#N/A,646,0,WT,03/08/2017,
SG21,AN41908A-VB,F,E,ST31S0000123,#N/A,0,2000,OW,03/13/2017,
SG21,MN63Y1208-E1,F,E,ST31S0000123,#N/A,0,2000,OW,03/03/2017,
SG21,NN30320A-VB,T,E,ST31S0000120,#N/A,2170,0,HD,12/31/2016,
SG21,MIP0226SYSLT,F,E,ST31S0000033,#N/A,4,0,WT,06/26/2016,
SG21,MIP2E3DMY0LT,F,E,ST31S0000035,#N/A,0,500,OW,03/18/2017,
