PLANT,PART_NAME,SERVICE_TYPE,FLOW_TYPE,STP_CD,ONESAP_LOT,PROCESS_BEFORE_QTY,PROCESS_AFTER_QTY,STATUS,LOT_CREATE_DATE,
SG21,MN2WS0230A2N,T,E,ST11S0000068,UBH3U042.1,120,0,AC,2017-03-25 20:27:41,
SG21,MIP5310MTSCF,F,E,ST31S0000033,UCE9R024.1,652,0,WT,2014-09-26 13:06:02,
SG21,MIP8360MT1S0,F,E,ST31S0000035,UCE95012.1,0,2000,OW,2014-09-05 14:15:53,
SG21,MIP0223SY1HD,F,E,ST31S0000035,UCF6T040.1,0,500,OW,2015-04-06 10:52:34,
SG21,MIP0223SY1HD,F,E,ST31S0000035,UCF6T038.1,0,500,OW,2015-04-06 10:52:34,
SG21,MIP2E4DMY0LE,F,E,ST31S0000033,UCE7V508.1,34,0,WT,2014-07-31 16:24:42,
SG21,MIP2E4DMY0LP,F,E,ST31S0000033,UCE7V564.1,24,0,WT,2014-07-31 16:24:42,
SG21,AN6916,F,E,ST31S0000070,UCE7V582.1,416,0,WT,2014-07-31 16:24:42,
SG21,AN7513,F,E,ST31S0000070,UCE7V498.1,1145,0,WT,2014-07-31 16:24:42,
SG21,AN17831A,F,E,ST31S0000070,UCEAU005.1,752,0,WT,2014-10-23 19:51:17,
SG21,MIP2F50MTSCF,F,E,ST31S0000033,UCG1V988.1,596,0,WT,2016-01-08 16:16:19,
SG21,AN1431T,F,E,ST31S0000070,UCG8C350.1,10031,0,WT,2016-08-12 14:57:17,
SG21,AN1431T,F,E,ST31S0000070,UCG8C330.1,12018,0,WT,2016-08-12 14:46:12,
SG21,AN1431T,F,E,ST31S0000070,UCG8C339.1,6280,0,WT,2016-08-12 14:50:51,
SG21,AN7190NK-LDG,F,E,ST31S0000070,UCE7V581.1,201,0,WT,2014-07-31 16:24:42,
SG21,AN17891AAE2V,T,E,ST31S0000155,UCE7V568.1,381,0,WT,2014-07-31 16:24:42,
SG21,AN8882SB-E1V,F,E,ST31S0000154,UCECB005.1,418,0,WT,2014-12-10 13:43:34,
SG21,MN2WS0230A3,T,E,ST11S0000065,UBF8J015.1,9,0,WT,2015-08-11 17:32:55,
SG21,MIP3J20MSSCF,F,E,ST31S0000033,UCG2ICSV.1,842,0,WT,2016-02-04 17:51:41,
SG21,AN22004A-VF,F,E,ST31S0000154,UCE7V531.1,1750,0,WT,2014-07-31 16:24:42,
SG21,AN44020A-VF,F,E,ST31S0000154,UCEAG029.1,1255,0,WT,2014-10-08 17:39:45,
SG21,AN44010A-VF,F,E,ST31S0000154,UCF6A016.1,1577,0,WT,2015-06-05 12:58:22,
SG21,MIP0227SY1S0,F,E,ST31S0000033,UCE7V537.1,695,0,WT,2014-07-31 16:24:42,
SG21,AN7705,F,E,ST31S0000070,UCE7V570.1,385,0,WT,2014-07-31 16:24:42,
SG21,AN7812A,F,E,ST31S0000070,UCE8P005.1,247,0,WT,2014-07-31 16:24:42,
SG21,AN7805F-LC,F,E,ST31S0000070,UCF8G003.1,349,0,WT,2015-08-16 15:25:26,
SG21,AN7815F-LC,F,E,ST31S0000072,UCF8R035.1,0,450,OW,2015-04-21 15:10:01,
SG21,AN7915F-LC,F,E,ST31S0000072,UCF6N040.1,0,450,OW,2015-05-19 14:23:12,
SG21,AN17807A,F,E,ST31S0000070,UCE7V422.1,68,0,WT,2014-07-31 16:24:42,
